Group	Test	Last_Digit	TOTAL	CORRECT_1	CORRECT_2
gpt-2	0_0	1	30	14	13
gpt-2	0_0	2	30	13	11
gpt-2	0_0	3	30	13	9
gpt-2	0_0	4	30	8	8
gpt-2	0_0	5	30	15	13
gpt-2	0_0	6	30	15	11
gpt-2	0_0	7	30	12	10
gpt-2	0_0	8	50	22	12
gpt-2	0_0	9	50	25	19
gpt-2	1_1	1	30	9	8
gpt-2	1_1	2	30	7	7
gpt-2	1_1	3	30	5	4
gpt-2	1_1	4	30	2	2
gpt-2	1_1	5	30	7	7
gpt-2	1_1	6	30	6	4
gpt-2	1_1	7	30	7	5
gpt-2	1_1	8	50	8	8
gpt-2	1_1	9	50	13	13
gpt-2	2_2	1	30	30	25
gpt-2	2_2	2	30	30	21
gpt-2	2_2	3	30	30	20
gpt-2	2_2	4	30	30	14
gpt-2	2_2	5	30	30	20
gpt-2	2_2	6	30	30	19
gpt-2	2_2	7	30	30	15
gpt-2	2_2	8	50	50	33
gpt-2	2_2	9	50	49	34
gpt-2	3_3	1	30	16	16
gpt-2	3_3	2	30	18	18
gpt-2	3_3	3	30	23	23
gpt-2	3_3	4	30	21	20
gpt-2	3_3	5	30	23	22
gpt-2	3_3	6	30	13	13
gpt-2	3_3	7	30	21	21
gpt-2	3_3	8	50	35	35
gpt-2	3_3	9	50	37	35
gpt-2	4_4	1	30	25	25
gpt-2	4_4	2	30	24	17
gpt-2	4_4	3	30	24	20
gpt-2	4_4	4	30	26	16
gpt-2	4_4	5	30	29	22
gpt-2	4_4	6	30	26	15
gpt-2	4_4	7	30	28	20
gpt-2	4_4	8	50	40	30
gpt-2	4_4	9	50	40	28
gpt-2	5_5	1	30	30	30
gpt-2	5_5	2	30	25	25
gpt-2	5_5	3	30	15	14
gpt-2	5_5	4	30	13	13
gpt-2	5_5	5	30	14	14
gpt-2	5_5	6	30	10	10
gpt-2	5_5	7	30	6	5
gpt-2	5_5	8	50	6	6
gpt-2	5_5	9	50	6	6
gpt-2	6_6	1	30	7	7
gpt-2	6_6	2	30	9	9
gpt-2	6_6	3	30	18	14
gpt-2	6_6	4	30	11	9
gpt-2	6_6	5	30	9	7
gpt-2	6_6	6	30	19	11
gpt-2	6_6	7	30	11	6
gpt-2	6_6	8	30	9	5
gpt-2	6_6	9	30	9	6
